Unit Weight (kN/m³),Cohesion (kPa),Internal Friction Angle (°),Slope Angle (°),Slope Height (m),Pore Water Pressure Ratio,Reinforcement Type,Reinforcement Numeric,Factor of Safety (FS)
18.745401188473625,21.81383683100143,38.24995777474926,41.907228418608696,18.451041854198742,0.8472365776964198,Drainage,3,2.613691702557488
24.50714306409916,19.981044330413148,24.61279988996779,32.96462267670965,9.266799882292611,0.49451704371937044,Geosynthetics,2,2.2416263474134595
22.31993941811405,12.926926062628702,28.665992359247156,58.22492624319704,10.686165123749719,0.19546561063218582,Retaining Wall,0,1.568243617156379
20.986584841970366,32.32700015456696,36.58201592144546,20.948922549211908,13.130200768141481,0.7366417866100926,Drainage,3,3.0
16.560186404424364,26.4480872228883,32.052233613111994,39.39282079994703,14.164400046422676,0.4186781356832957,Soil Nailing,1,3.0
16.559945203362027,43.95654465458016,38.464275965872346,45.01050074951113,15.901781414474483,0.5946274834524972,Geosynthetics,2,3.0
15.580836121681994,6.444931121692621,44.03019753057149,51.278224467269084,16.495701303357247,0.10726529017393882,Geosynthetics,2,1.5457514734286515
23.66176145774935,33.97405673998068,22.913667192879938,30.348551521400353,25.507235546939118,0.6315839895159923,Retaining Wall,0,3.0
21.011150117432088,39.332699533020254,37.73919290995153,44.346095382874076,27.930793587171856,0.3735504889451243,Soil Nailing,1,3.0
22.080725777960453,39.17689561347382,25.758603890802863,25.160073569214138,18.899564365686018,0.33418974971849447,Soil Nailing,1,3.0
15.205844942958024,44.87332851929863,30.361918185189232,31.773804618091013,45.82833889643277,0.9799155787778012,Geosynthetics,2,3.0
24.699098521619945,37.806518427327234,20.821568144878494,54.78135656016996,29.891287550252954,0.43243064276024723,Soil Nailing,1,3.0
23.324426408004218,46.75145277414634,23.397684557317472,57.495380466547715,40.4364617615033,0.6780383781157342,Retaining Wall,0,3.0
17.123391106782762,19.969546991940113,27.994432226222493,45.940867346363234,46.59070245893795,0.6277275355738411,Drainage,3,2.1568299988175417
16.818249672071005,27.64442375381944,28.549645132199622,28.71759453880925,12.341080155911234,0.10430355088515764,Soil Nailing,1,3.0
16.83404509853434,5.633584847730081,42.4896304115524,51.002889498733204,24.254351767203552,0.7479275370643161,Retaining Wall,0,1.0956868349719313
18.042422429595376,5.313091428648105,38.54532273166288,11.293354086271009,24.494468077157396,0.3231592034335765,Geosynthetics,2,1.5416400913407413
20.24756431632238,15.805697920318394,44.30457420467603,15.137295526971053,20.951251269725937,0.798939549196735,Drainage,3,2.5065462023196288
19.319450186421157,9.536323871258837,34.976787758381015,43.06868681876806,5.400763994823797,0.6076407826153825,Retaining Wall,0,1.3850180529098792
17.91229140198042,16.70951155710891,26.04284330228295,24.562428763502872,41.718744850014275,0.31709148995348957,Drainage,3,2.134875899841883
21.118528947223794,12.966948253777883,28.19137574804107,57.56931092002389,10.020169469925627,0.35629296033107094,Drainage,3,1.4825677609467165
16.39493860652042,6.283401117739171,27.995898082299178,31.803030604615238,49.79662690647915,0.7315073696663607,Geosynthetics,2,0.8777527236378901
17.92144648535218,45.91868658827222,28.16235819158129,31.46824101945885,39.783132136003175,0.5500593151228819,Geosynthetics,2,3.0
18.663618432936918,5.3700409125001185,36.824104327795396,43.90397550954656,31.100450792293152,0.6683510406713152,Retaining Wall,0,0.9912589600787352
19.560699842170358,38.12369649516884,33.2701982022604,48.37842811530948,11.957288798371884,0.15831832107518828,Retaining Wall,0,3.0
22.851759613930135,11.846654911378245,29.635604452166106,33.777936906256826,28.192683712696116,0.7869766722284186,Retaining Wall,0,1.4412512676999172
16.996737821583597,46.050332989982,23.727244218217916,20.700045085586208,16.7498933386014,0.3203913189150347,Drainage,3,3.0
20.142344384136116,45.17581728154486,20.553479073553646,48.66543213628108,16.354513604438125,0.6198612671576733,Geosynthetics,2,3.0
20.924145688620424,34.42555158661658,25.470866939692314,26.01756374368138,42.32881622221184,0.1146798252420087,Drainage,3,3.0
15.464504127199977,35.25053674102723,22.686785099217033,18.75553846469288,22.12899907817456,0.321420241156967,Soil Nailing,1,3.0
21.075448519014383,5.240261388635984,39.636125771305984,41.58200949625066,25.282571152586183,0.6488672930666418,Geosynthetics,2,1.1049765897446369
16.705241236872915,49.31922047511209,22.812448945347136,14.52268334951752,42.93341320010532,0.2742061322902506,Retaining Wall,0,3.0
15.650515929852794,44.50246716091165,38.1057059326709,58.56763375430275,8.950578157347914,0.8803121967498171,Drainage,3,3.0
24.488855372533333,45.27978015785414,29.641467244402065,41.619863220606845,31.75780338909723,0.6612283994434204,Geosynthetics,2,3.0
24.656320330745594,34.66600416728924,21.8344597435944,59.29477604608779,31.019705661786702,0.8702783932967957,Retaining Wall,0,3.0
23.083973481164612,20.51541178945414,40.318251235789646,26.944671173931802,24.134655617000384,0.3953907022511207,Retaining Wall,0,2.928340823940191
18.046137691733705,45.214189209071634,34.49076425591534,58.560258059519896,42.339858864084185,0.033985142624675,Soil Nailing,1,3.0
15.97672114006384,18.118261766803656,25.894037821589325,17.27811238643118,47.43005276010617,0.5761399633551028,Geosynthetics,2,2.2141096651914802
21.842330265121568,30.32201945039913,42.3670293583167,12.034738617351422,25.940113786112484,0.3391935027253723,Retaining Wall,0,3.0
19.40152493739601,9.487893755474708,21.131457846763787,11.649203022730127,25.526617294927988,0.4481883759223533,Drainage,3,1.3125850855844523
16.22038234844779,46.48800335597376,25.045490204944073,33.24351852996135,27.592867835183515,0.6811102139227488,Geosynthetics,2,3.0
19.951769101112703,11.3346705997046,38.801173195146525,14.15020987392974,37.54058138748777,0.7006646670708717,Soil Nailing,1,1.9350050675339443
15.343885211152184,15.120356257868327,37.73444825774723,35.60839420838009,35.0627130814533,0.027556414865815393,Retaining Wall,0,2.399988418195032
24.093204020787823,30.116037115769675,27.23179234311195,26.375025175445025,15.027572714309919,0.7693026728396135,Retaining Wall,0,3.0
17.58779981600017,39.38418500958417,21.550621883819577,26.78144962370578,7.875290686970449,0.4935189149560789,Geosynthetics,2,3.0
21.62522284353982,32.870808767133454,41.451951805623594,41.780449827258494,47.71643584175552,0.55669877332455,Geosynthetics,2,3.0
18.11711076089411,15.446026076007028,27.842440951747562,18.15490030758101,16.748139188016694,0.29799418518985255,Geosynthetics,2,2.1421378769882184
20.200680211778106,5.042436913737065,24.89283537320663,48.32766851698655,33.73685081107663,0.42083378600058097,Soil Nailing,1,0.6403112923104379
20.467102793432797,39.071776113834765,32.90154555902443,39.10154598893173,42.27971012346751,0.7103751339793317,Drainage,3,3.0
16.84854455525527,49.33432966599922,42.75567998206118,55.74723144237554,18.51245377462338,0.7767138029442585,Soil Nailing,1,3.0
24.695846277645586,41.446090413774066,21.088664446084383,28.24203268837617,33.594503614561795,0.387106181167978,Retaining Wall,0,3.0
22.751328233611147,25.70929781704769,39.14510220077219,59.135749603356274,9.85551085171512,0.6911175326513301,Geosynthetics,2,2.938850259371281
24.39498941564189,45.6695267629598,34.31183069846772,38.79138233570116,48.646914996904734,0.25804350168843804,Drainage,3,3.0
23.948273504276486,23.443145290325752,30.636227913795423,58.67009780937669,7.617122377278164,0.8320226651775152,Soil Nailing,1,2.3628098154765653
20.97899978811085,28.62203379095604,38.602011102626506,11.353032702355767,24.717860322843933,0.6098142389073653,Geosynthetics,2,3.0
24.218742350231167,26.470839532805748,44.14561061104081,46.3988161206194,29.15686589270105,0.775186516066895,Geosynthetics,2,3.0
15.884925020519194,25.143074269948624,25.730155279067276,50.831076214636816,40.57168003985138,0.4771548523178474,Soil Nailing,1,2.6250910813251465
16.959828624191452,39.88358461822576,23.59118412680299,12.65866433382438,10.450783268258956,0.22910928498195526,Drainage,3,3.0
15.45227288910538,28.70460082712714,42.82204363056742,38.94848320081229,24.836358823482946,0.42923111331364394,Geosynthetics,2,3.0
18.253303307632642,19.252270491134723,36.72382693643259,50.09711467947242,18.48702062945536,0.38148539447832075,Retaining Wall,0,2.457640769627341
18.88677289689482,16.617117544631526,30.94965053904915,38.05193626115364,19.040482206200302,0.3327165434401591,Retaining Wall,0,2.1464891380998417
17.71349031773896,6.698629263534502,34.33148925660708,13.190679520273331,40.04545622293629,0.21217374774147835,Geosynthetics,2,1.5762522325002135
23.287375091519294,31.24378228473707,38.6403476294061,44.67236204491557,5.245742526432491,0.7591671418798062,Soil Nailing,1,3.0
18.567533266935893,15.348263693046539,39.32579746764293,13.029845733665432,38.70876386011848,0.08635166132056049,Drainage,3,2.672211996895817
17.80934509687381,11.666026490737238,42.99735452047412,50.873444750821925,41.46792935553978,0.8875609298858339,Geosynthetics,2,1.647332887305058
20.426960831582484,34.422348372245494,30.671069722390566,12.151709165334719,45.56130097289311,0.1750247228977535,Retaining Wall,0,3.0
16.409242249747628,35.6544166019697,27.335272750484876,16.86986905051854,33.20968114537176,0.9798736518515413,Drainage,3,3.0
23.021969807540398,38.84697015159497,35.99160666974605,23.755379526163424,20.005489772250854,0.9884680480870743,Drainage,3,3.0
